# This is a Kurucz model F star at T_eff=7000K, [Fe/H]=-2, log10(g)=4.5,
# provided by Christy Tremonti on 1 Nov 2002.
# The original reference is Gray & Corbally, 1994, AJ 107, 742.
# There are some updates in Gray, Graham, & Hoyt 2001, AJ, 121, 2159.
# Gray's code SPECTRUM is available
#   http://www.acs.appstate.edu/dept/physics/spectrum/spectrum.html
# You can't download the models -- you have to run them.  Tremonti has
# then convolved these to something like SDSS resolution.
#
# Note that this spectrum is 0-indexed row #70 of the file:
#   $IDLSPEC2D_DIR/etc/kurucz_stds_interp.fit
# checked into idlspec2d v4_9_13.  I have converted the wavelength
# scale from vacuum to air.
#
# Eventually, Tremonti has suggested that we switch to the empirical
# spectra from STELIB.  See http://webast.ast.obs-mip.fr/stelib
#
 3075.3447  5.02511e+06
 3076.0530  5.36938e+06
 3076.7614  5.55749e+06
 3077.4699  5.55656e+06
 3078.1786  5.34330e+06
 3078.8875  5.21201e+06
 3079.5966  5.60144e+06
 3080.3058  5.59368e+06
 3081.0152  5.55708e+06
 3081.7247  5.39987e+06
 3082.4344  5.33298e+06
 3083.1443  5.50127e+06
 3083.8543  5.35938e+06
 3084.5645  5.62078e+06
 3085.2749  5.65927e+06
 3085.9854  5.65217e+06
 3086.6961  5.60425e+06
 3087.4069  5.42435e+06
 3088.1179  5.06065e+06
 3088.8291  5.46906e+06
 3089.5404  5.39948e+06
 3090.2519  5.55513e+06
 3090.9636  5.39236e+06
 3091.6754  5.42235e+06
 3092.3874  5.00642e+06
 3093.0996  4.63397e+06
 3093.8119  5.46470e+06
 3094.5244  5.60976e+06
 3095.2371  5.63411e+06
 3095.9499  5.57648e+06
 3096.6629  5.12873e+06
 3097.3760  5.24810e+06
 3098.0893  5.58983e+06
 3098.8028  5.55838e+06
 3099.5164  5.24102e+06
 3100.2302  4.74312e+06
 3100.9442  5.03403e+06
 3101.6583  5.01224e+06
 3102.3726  5.33408e+06
 3103.0871  5.59945e+06
 3103.8017  5.53583e+06
 3104.5165  5.51494e+06
 3105.2314  5.24410e+06
 3105.9465  5.30432e+06
 3106.6618  5.42330e+06
 3107.3773  5.62088e+06
 3108.0929  5.65293e+06
 3108.8086  5.66409e+06
 3109.5246  5.65107e+06
 3110.2407  5.54293e+06
 3110.9570  5.53869e+06
 3111.6734  5.63092e+06
 3112.3900  5.64214e+06
 3113.1068  5.65594e+06
 3113.8237  5.55027e+06
 3114.5408  5.52524e+06
 3115.2580  5.62895e+06
 3115.9755  5.59140e+06
 3116.6931  5.41349e+06
 3117.4108  5.50355e+06
 3118.1287  5.18881e+06
 3118.8468  5.22179e+06
 3119.5651  5.31123e+06
 3120.2835  5.10395e+06
 3121.0021  5.35171e+06
 3121.7208  5.53843e+06
 3122.4397  5.60469e+06
 3123.1588  5.64912e+06
 3123.8781  5.66445e+06
 3124.5975  5.34745e+06
 3125.3170  4.99045e+06
 3126.0368  5.32041e+06
 3126.7567  5.62420e+06
 3127.4768  5.68486e+06
 3128.1970  5.50580e+06
 3128.9174  5.32270e+06
 3129.6380  5.53417e+06
 3130.3587  5.38582e+06
 3131.0796  5.47360e+06
 3131.8007  5.29190e+06
 3132.5219  5.37834e+06
 3133.2433  5.54323e+06
 3133.9649  5.25775e+06
 3134.6866  5.42933e+06
 3135.4085  5.54561e+06
 3136.1306  5.56464e+06
 3136.8528  5.47353e+06
 3137.5752  5.67220e+06
 3138.2978  5.69401e+06
 3139.0205  5.68377e+06
 3139.7434  5.66562e+06
 3140.4665  5.65612e+06
 3141.1897  5.69434e+06
 3141.9131  5.66524e+06
 3142.6367  5.57878e+06
 3143.3604  5.49536e+06
 3144.0843  5.46011e+06
 3144.8083  5.53639e+06
 3145.5326  5.56908e+06
 3146.2570  5.64069e+06
 3146.9815  5.46156e+06
 3147.7063  5.38955e+06
 3148.4312  5.54770e+06
 3149.1562  5.67534e+06
 3149.8815  5.65104e+06
 3150.6069  5.68508e+06
 3151.3324  5.66104e+06
 3152.0582  5.57402e+06
 3152.7840  5.58742e+06
 3153.5101  5.51212e+06
 3154.2363  5.27249e+06
 3154.9627  5.57888e+06
 3155.6893  5.54815e+06
 3156.4161  5.61178e+06
 3157.1430  5.56096e+06
 3157.8700  5.56252e+06
 3158.5973  5.11948e+06
 3159.3247  5.31400e+06
 3160.0522  5.53708e+06
 3160.7800  5.11378e+06
 3161.5079  4.88274e+06
 3162.2360  4.99806e+06
 3162.9642  5.26083e+06
 3163.6926  5.62576e+06
 3164.4212  5.68103e+06
 3165.1499  5.62247e+06
 3165.8789  5.48733e+06
 3166.6079  5.44927e+06
 3167.3372  5.47912e+06
 3168.0666  5.19580e+06
 3168.7962  5.29515e+06
 3169.5259  5.60907e+06
 3170.2559  5.57859e+06
 3170.9860  5.63823e+06
 3171.7162  5.64483e+06
 3172.4466  5.69634e+06
 3173.1772  5.69509e+06
 3173.9080  5.69234e+06
 3174.6389  5.68444e+06
 3175.3700  5.55690e+06
 3176.1013  5.66687e+06
 3176.8327  5.66410e+06
 3177.5643  5.43142e+06
 3178.2961  5.50337e+06
 3179.0280  5.16147e+06
 3179.7601  5.12191e+06
 3180.4924  5.16898e+06
 3181.2249  4.97118e+06
 3181.9575  5.46272e+06
 3182.6903  5.47658e+06
 3183.4232  5.44350e+06
 3184.1563  5.59198e+06
 3184.8896  5.51291e+06
 3185.6231  5.57793e+06
 3186.3567  5.44343e+06
 3187.0905  5.31672e+06
 3187.8245  5.50641e+06
 3188.5586  5.60264e+06
 3189.2929  5.71400e+06
 3190.0274  5.61024e+06
 3190.7620  5.10077e+06
 3191.4969  5.32017e+06
 3192.2318  5.46709e+06
 3192.9670  5.16680e+06
 3193.7023  5.21081e+06
 3194.4378  5.53831e+06
 3195.1735  5.63520e+06
 3195.9093  5.31895e+06
 3196.6453  5.10288e+06
 3197.3814  5.27054e+06
 3198.1178  5.70916e+06
 3198.8543  5.68005e+06
 3199.5910  5.47629e+06
 3200.3278  5.43333e+06
 3201.0648  5.63640e+06
 3201.8020  5.66708e+06
 3202.5394  5.56873e+06
 3203.2769  5.59307e+06
 3204.0146  5.69532e+06
 3204.7524  5.69942e+06
 3205.4905  5.59419e+06
 3206.2287  5.62545e+06
 3206.9670  5.55807e+06
 3207.7056  5.65680e+06
 3208.4443  5.48231e+06
 3209.1832  5.44869e+06
 3209.9222  5.41908e+06
 3210.6615  5.22969e+06
 3211.4009  5.35595e+06
 3212.1404  5.26054e+06
 3212.8802  5.35120e+06
 3213.6201  5.04796e+06
 3214.3601  5.11895e+06
 3215.1004  5.51336e+06
 3215.8408  5.67012e+06
 3216.5814  5.44814e+06
 3217.3221  5.23014e+06
 3218.0631  5.55614e+06
 3218.8042  5.62194e+06
 3219.5454  5.16706e+06
 3220.2869  5.50920e+06
 3221.0285  5.66795e+06
 3221.7703  5.36894e+06
 3222.5122  5.27353e+06
 3223.2543  5.45039e+06
 3223.9966  5.50715e+06
 3224.7391  5.50914e+06
 3225.4817  5.42852e+06
 3226.2245  5.51470e+06
 3226.9675  5.54669e+06
 3227.7107  5.05528e+06
 3228.4540  5.09627e+06
 3229.1975  5.03277e+06
 3229.9411  5.37243e+06
 3230.6850  5.47890e+06
 3231.4290  5.40741e+06
 3232.1731  5.45642e+06
 3232.9175  5.22451e+06
 3233.6620  5.37600e+06
 3234.4067  4.86245e+06
 3235.1516  5.41510e+06
 3235.8966  5.41971e+06
 3236.6418  5.11052e+06
 3237.3872  5.55919e+06
 3238.1327  5.57477e+06
 3238.8784  5.19643e+06
 3239.6243  5.40077e+06
 3240.3704  5.68939e+06
 3241.1166  5.67800e+06
 3241.8630  5.25871e+06
 3242.6096  5.38837e+06
 3243.3564  5.44703e+06
 3244.1033  5.56246e+06
 3244.8504  5.72768e+06
 3245.5977  5.71837e+06
 3246.3451  5.66210e+06
 3247.0927  5.47482e+06
 3247.8405  5.41936e+06
 3248.5884  5.37990e+06
 3249.3366  5.56793e+06
 3250.0849  5.64100e+06
 3250.8333  5.62118e+06
 3251.5820  5.49077e+06
 3252.3308  5.35379e+06
 3253.0798  5.26591e+06
 3253.8290  5.32357e+06
 3254.5783  5.23784e+06
 3255.3278  5.61933e+06
 3256.0775  5.55560e+06
 3256.8273  5.73562e+06
 3257.5773  5.73955e+06
 3258.3275  5.58422e+06
 3259.0779  5.41512e+06
 3259.8285  5.66240e+06
 3260.5792  5.68999e+06
 3261.3301  5.53196e+06
 3262.0811  5.62621e+06
 3262.8324  5.75815e+06
 3263.5838  5.71273e+06
 3264.3353  5.66125e+06
 3265.0871  5.51889e+06
 3265.8390  5.58653e+06
 3266.5911  5.66762e+06
 3267.3434  5.62807e+06
 3268.0958  5.62843e+06
 3268.8485  5.72463e+06
 3269.6013  5.70001e+06
 3270.3542  5.64965e+06
 3271.1074  5.40319e+06
 3271.8607  5.42429e+06
 3272.6142  5.70075e+06
 3273.3678  5.70606e+06
 3274.1217  5.66156e+06
 3274.8757  5.73930e+06
 3275.6298  5.69085e+06
 3276.3842  5.54122e+06
 3277.1387  5.39495e+06
 3277.8934  5.50115e+06
 3278.6483  5.33550e+06
 3279.4033  5.47333e+06
 3280.1586  5.53372e+06
 3280.9140  5.62759e+06
 3281.6695  5.56483e+06
 3282.4253  5.46682e+06
 3283.1812  5.66668e+06
 3283.9373  5.76217e+06
 3284.6936  5.72863e+06
 3285.4500  5.67202e+06
 3286.2066  5.61734e+06
 3286.9634  5.47019e+06
 3287.7204  5.54293e+06
 3288.4775  5.58955e+06
 3289.2348  5.68088e+06
 3289.9923  5.74327e+06
 3290.7500  5.62223e+06
 3291.5078  5.65559e+06
 3292.2658  5.66201e+06
 3293.0240  5.72006e+06
 3293.7824  5.77904e+06
 3294.5409  5.77081e+06
 3295.2996  5.64267e+06
 3296.0585  5.62906e+06
 3296.8175  5.75724e+06
 3297.5768  5.76568e+06
 3298.3362  5.75926e+06
 3299.0958  5.77413e+06
 3299.8555  5.77653e+06
 3300.6155  5.78666e+06
 3301.3756  5.74961e+06
 3302.1359  5.64068e+06
 3302.8963  5.49497e+06
 3303.6569  5.60249e+06
 3304.4178  5.76556e+06
 3305.1787  5.74801e+06
 3305.9399  5.60903e+06
 3306.7012  5.53897e+06
 3307.4627  5.63148e+06
 3308.2244  5.72165e+06
 3308.9863  5.69156e+06
 3309.7483  5.74997e+06
 3310.5105  5.69949e+06
 3311.2729  5.75796e+06
 3312.0355  5.72140e+06
 3312.7982  5.73879e+06
 3313.5611  5.71834e+06
 3314.3242  5.61090e+06
 3315.0875  5.53148e+06
 3315.8509  5.60028e+06
 3316.6145  5.77038e+06
 3317.3783  5.67320e+06
 3318.1423  5.51796e+06
 3318.9064  5.73648e+06
 3319.6708  5.75599e+06
 3320.4353  5.74670e+06
 3321.1999  5.72595e+06
 3321.9648  5.56539e+06
 3322.7298  5.24701e+06
 3323.4950  5.43886e+06
 3324.2604  5.68178e+06
 3325.0259  5.77534e+06
 3325.7917  5.75547e+06
 3326.5576  5.44417e+06
 3327.3236  5.59544e+06
 3328.0899  5.71076e+06
 3328.8563  5.53268e+06
 3329.6229  5.39525e+06
 3330.3897  5.73277e+06
 3331.1567  5.75652e+06
 3331.9238  5.49052e+06
 3332.6912  5.66051e+06
 3333.4586  5.79512e+06
 3334.2263  5.76635e+06
 3334.9942  5.51831e+06
 3335.7622  5.52396e+06
 3336.5304  5.49019e+06
 3337.2988  5.65986e+06
 3338.0673  5.67978e+06
 3338.8361  5.75521e+06
 3339.6050  5.63650e+06
 3340.3740  5.41133e+06
 3341.1433  5.61470e+06
 3341.9128  5.33475e+06
 3342.6824  5.65323e+06
 3343.4522  5.72642e+06
 3344.2221  5.75040e+06
 3344.9923  5.78788e+06
 3345.7626  5.78595e+06
 3346.5331  5.65192e+06
 3347.3038  5.69217e+06
 3348.0747  5.68793e+06
 3348.8457  4.96670e+06
 3349.6169  5.04005e+06
 3350.3883  5.67325e+06
 3351.1599  5.67249e+06
 3351.9316  5.75160e+06
 3352.7035  5.77665e+06
 3353.4756  5.67837e+06
 3354.2479  5.69981e+06
 3355.0204  5.73773e+06
 3355.7930  5.76986e+06
 3356.5658  5.78096e+06
 3357.3388  5.75225e+06
 3358.1120  5.69897e+06
 3358.8853  5.70307e+06
 3359.6589  5.60831e+06
 3360.4326  5.31784e+06
 3361.2064  4.90213e+06
 3361.9805  5.35145e+06
 3362.7547  5.73539e+06
 3363.5292  5.73969e+06
 3364.3038  5.77845e+06
 3365.0785  5.76526e+06
 3365.8535  5.62073e+06
 3366.6286  5.64577e+06
 3367.4039  5.62252e+06
 3368.1794  5.45572e+06
 3368.9551  5.59726e+06
 3369.7309  5.62414e+06
 3370.5069  5.72126e+06
 3371.2831  5.65363e+06
 3372.0595  5.26152e+06
 3372.8361  5.21852e+06
 3373.6128  5.61236e+06
 3374.3897  5.56830e+06
 3375.1668  5.74167e+06
 3375.9441  5.79661e+06
 3376.7216  5.79915e+06
 3377.4992  5.78960e+06
 3378.2770  5.71107e+06
 3379.0550  5.65382e+06
 3379.8332  5.19656e+06
 3380.6115  4.98896e+06
 3381.3900  5.59531e+06
 3382.1688  5.69603e+06
 3382.9476  5.55155e+06
 3383.7267  5.19490e+06
 3384.5060  5.66256e+06
 3385.2854  5.80487e+06
 3386.0650  5.79512e+06
 3386.8448  5.75850e+06
 3387.6247  5.45516e+06
 3388.4049  5.60590e+06
 3389.1852  5.78940e+06
 3389.9657  5.80107e+06
 3390.7464  5.69197e+06
 3391.5273  5.59302e+06
 3392.3083  5.51515e+06
 3393.0895  5.49415e+06
 3393.8709  5.55539e+06
 3394.6525  5.38889e+06
 3395.4343  5.73254e+06
 3396.2162  5.79231e+06
 3396.9983  5.78234e+06
 3397.7806  5.78634e+06
 3398.5631  5.77641e+06
 3399.3458  5.71670e+06
 3400.1286  5.79231e+06
 3400.9116  5.77630e+06
 3401.6948  5.71384e+06
 3402.4782  5.65313e+06
 3403.2618  5.51119e+06
 3404.0455  5.59366e+06
 3404.8295  5.55080e+06
 3405.6136  5.67047e+06
 3406.3978  5.66927e+06
 3407.1823  5.54619e+06
 3407.9670  5.62472e+06
 3408.7518  5.52653e+06
 3409.5368  5.62572e+06
 3410.3220  5.71614e+06
 3411.1074  5.77171e+06
 3411.8929  5.73678e+06
 3412.6786  5.52275e+06
 3413.4646  5.39392e+06
 3414.2506  5.35241e+06
 3415.0369  5.34311e+06
 3415.8234  5.69228e+06
 3416.6100  5.68469e+06
 3417.3968  5.51922e+06
 3418.1838  5.53521e+06
 3418.9710  5.75342e+06
 3419.7584  5.80429e+06
 3420.5459  5.69520e+06
 3421.3336  5.51158e+06
 3422.1215  5.58866e+06
 3422.9096  5.39258e+06
 3423.6979  5.60775e+06
 3424.4864  5.74599e+06
 3425.2750  5.69823e+06
 3426.0638  5.66576e+06
 3426.8528  5.42156e+06
 3427.6420  5.53447e+06
 3428.4313  5.63437e+06
 3429.2209  5.79240e+06
 3430.0106  5.80088e+06
 3430.8005  5.81215e+06
 3431.5906  5.79990e+06
 3432.3809  5.75786e+06
 3433.1713  5.39253e+06
 3433.9619  5.55067e+06
 3434.7527  5.80711e+06
 3435.5437  5.79351e+06
 3436.3349  5.77008e+06
 3437.1263  5.74716e+06
 3437.9178  5.72436e+06
 3438.7095  5.69917e+06
 3439.5015  5.72774e+06
 3440.2935  5.15490e+06
 3441.0858  4.96236e+06
 3441.8783  5.41405e+06
 3442.6709  5.62124e+06
 3443.4637  5.47128e+06
 3444.2567  5.25346e+06
 3445.0499  5.59401e+06
 3445.8433  5.58912e+06
 3446.6368  5.62088e+06
 3447.4306  5.77454e+06
 3448.2245  5.81341e+06
 3449.0186  5.76555e+06
 3449.8129  5.71608e+06
 3450.6073  5.74046e+06
 3451.4020  5.73329e+06
 3452.1968  5.59857e+06
 3452.9918  5.70888e+06
 3453.7870  5.76350e+06
 3454.5824  5.79435e+06
 3455.3779  5.80365e+06
 3456.1737  5.75410e+06
 3456.9696  5.75359e+06
 3457.7657  5.67328e+06
 3458.5620  5.47446e+06
 3459.3585  5.70476e+06
 3460.1552  5.48117e+06
 3460.9520  5.48606e+06
 3461.7490  5.39548e+06
 3462.5463  5.74634e+06
 3463.3437  5.77902e+06
 3464.1412  5.77697e+06
 3464.9390  5.72197e+06
 3465.7369  5.44943e+06
 3466.5351  5.66995e+06
 3467.3334  5.74422e+06
 3468.1319  5.75450e+06
 3468.9306  5.71440e+06
 3469.7294  5.75084e+06
 3470.5285  5.79918e+06
 3471.3277  5.74284e+06
 3472.1271  5.63911e+06
 3472.9267  5.63143e+06
 3473.7265  5.60946e+06
 3474.5265  5.55184e+06
 3475.3267  5.25942e+06
 3476.1270  5.37545e+06
 3476.9275  5.25774e+06
 3477.7282  5.63274e+06
 3478.5291  5.79950e+06
 3479.3302  5.77020e+06
 3480.1315  5.75013e+06
 3480.9329  5.78321e+06
 3481.7345  5.79773e+06
 3482.5363  5.54345e+06
 3483.3383  5.47660e+06
 3484.1405  5.74746e+06
 3484.9429  5.75186e+06
 3485.7455  5.74665e+06
 3486.5482  5.81005e+06
 3487.3511  5.78728e+06
 3488.1542  5.62860e+06
 3488.9575  5.56094e+06
 3489.7610  5.58567e+06
 3490.5647  5.26381e+06
 3491.3685  5.57694e+06
 3492.1725  5.70984e+06
 3492.9768  5.37648e+06
 3493.7812  5.62746e+06
 3494.5857  5.67937e+06
 3495.3905  5.53943e+06
 3496.1955  5.53749e+06
 3497.0006  5.32239e+06
 3497.8060  5.27830e+06
 3498.6115  5.72458e+06
 3499.4172  5.81321e+06
 3500.2231  5.76125e+06
 3501.0291  5.73696e+06
 3501.8354  5.77123e+06
 3502.6418  5.76753e+06
 3503.4485  5.79815e+06
 3504.2553  5.70768e+06
 3505.0623  5.58711e+06
 3505.8695  5.75064e+06
 3506.6768  5.76409e+06
 3507.4844  5.78620e+06
 3508.2921  5.74535e+06
 3509.1001  5.77019e+06
 3509.9082  5.58803e+06
 3510.7165  5.46486e+06
 3511.5250  5.67089e+06
 3512.3336  5.74565e+06
 3513.1425  5.66820e+06
 3513.9516  5.42124e+06
 3514.7608  5.44806e+06
 3515.5702  5.61842e+06
 3516.3798  5.77200e+06
 3517.1896  5.79144e+06
 3517.9996  5.76970e+06
 3518.8098  5.70629e+06
 3519.6201  5.71673e+06
 3520.4306  5.71867e+06
 3521.2414  5.64178e+06
 3522.0523  5.71783e+06
 3522.8634  5.77674e+06
 3523.6747  5.65221e+06
 3524.4861  5.36786e+06
 3525.2978  5.59165e+06
 3526.1096  5.16444e+06
 3526.9217  5.45015e+06
 3527.7339  5.64117e+06
 3528.5463  5.75503e+06
 3529.3589  5.72814e+06
 3530.1717  5.67716e+06
 3530.9846  5.73741e+06
 3531.7978  5.77286e+06
 3532.6111  5.61871e+06
 3533.4247  5.56966e+06
 3534.2384  5.78393e+06
 3535.0523  5.69965e+06
 3535.8664  5.60228e+06
 3536.6807  5.55243e+06
 3537.4951  5.70950e+06
 3538.3098  5.75274e+06
 3539.1246  5.81212e+06
 3539.9397  5.80235e+06
 3540.7549  5.66035e+06
 3541.5703  5.51878e+06
 3542.3859  5.56063e+06
 3543.2017  5.78088e+06
 3544.0176  5.79367e+06
 3544.8338  5.72980e+06
 3545.6501  5.70037e+06
 3546.4667  5.79944e+06
 3547.2834  5.78641e+06
 3548.1003  5.72323e+06
 3548.9174  5.77519e+06
 3549.7347  5.80606e+06
 3550.5522  5.80812e+06
 3551.3698  5.78155e+06
 3552.1877  5.76053e+06
 3553.0057  5.71205e+06
 3553.8239  5.62294e+06
 3554.6423  5.46389e+06
 3555.4610  5.64863e+06
 3556.2797  5.73040e+06
 3557.0987  5.66163e+06
 3557.9179  5.63951e+06
 3558.7373  5.51950e+06
 3559.5568  5.73796e+06
 3560.3765  5.77771e+06
 3561.1965  5.78875e+06
 3562.0166  5.78055e+06
 3562.8369  5.80939e+06
 3563.6574  5.80832e+06
 3564.4780  5.70081e+06
 3565.2989  5.29110e+06
 3566.1200  5.36980e+06
 3566.9412  5.65342e+06
 3567.7626  5.72777e+06
 3568.5843  5.67379e+06
 3569.4061  5.36837e+06
 3570.2281  5.01218e+06
 3571.0503  5.61010e+06
 3571.8727  5.41970e+06
 3572.6952  5.42872e+06
 3573.5180  5.59063e+06
 3574.3409  5.65222e+06
 3575.1641  5.65125e+06
 3575.9874  5.58923e+06
 3576.8109  5.62094e+06
 3577.6346  5.75857e+06
 3578.4585  5.53833e+06
 3579.2826  5.67281e+06
 3580.1069  5.72683e+06
 3580.9314  5.24497e+06
 3581.7560  5.51446e+06
 3582.5809  5.78724e+06
 3583.4059  5.79087e+06
 3584.2311  5.61691e+06
 3585.0566  5.19880e+06
 3585.8822  5.29306e+06
 3586.7080  5.26699e+06
 3587.5340  5.38417e+06
 3588.3601  5.65936e+06
 3589.1865  5.55316e+06
 3590.0131  5.63785e+06
 3590.8398  5.77364e+06
 3591.6667  5.78712e+06
 3592.4939  5.74087e+06
 3593.3212  5.48517e+06
 3594.1487  5.60005e+06
 3594.9764  5.68110e+06
 3595.8043  5.64698e+06
 3596.6324  5.69371e+06
 3597.4607  5.67400e+06
 3598.2891  5.73844e+06
 3599.1178  5.76478e+06
 3599.9466  5.74562e+06
 3600.7757  5.73847e+06
 3601.6049  5.75724e+06
 3602.4343  5.74297e+06
 3603.2639  5.75461e+06
 3604.0937  5.74251e+06
 3604.9237  5.39057e+06
 3605.7539  5.36292e+06
 3606.5843  5.62406e+06
 3607.4148  5.74160e+06
 3608.2456  5.56785e+06
 3609.0765  5.37418e+06
 3609.9077  5.54375e+06
 3610.7390  5.59825e+06
 3611.5705  5.72663e+06
 3612.4022  5.66369e+06
 3613.2341  5.61844e+06
 3614.0662  5.62085e+06
 3614.8985  5.76096e+06
 3615.7310  5.79020e+06
 3616.5637  5.79620e+06
 3617.3965  5.65449e+06
 3618.2296  5.20620e+06
 3619.0628  4.99761e+06
 3619.8963  5.51696e+06
 3620.7299  5.73385e+06
 3621.5637  5.70529e+06
 3622.3977  5.71809e+06
 3623.2319  5.69742e+06
 3624.0663  5.72732e+06
 3624.9009  5.69347e+06
 3625.7357  5.78259e+06
 3626.5707  5.79842e+06
 3627.4058  5.78905e+06
 3628.2412  5.78952e+06
 3629.0768  5.79605e+06
 3629.9125  5.75368e+06
 3630.7484  5.41528e+06
 3631.5846  5.12405e+06
 3632.4209  5.57627e+06
 3633.2574  5.69868e+06
 3634.0941  5.77088e+06
 3634.9310  5.77176e+06
 3635.7681  5.72243e+06
 3636.6054  5.71356e+06
 3637.4429  5.71554e+06
 3638.2805  5.73514e+06
 3639.1184  5.78994e+06
 3639.9564  5.69204e+06
 3640.7947  5.63630e+06
 3641.6331  5.69965e+06
 3642.4718  5.67770e+06
 3643.3106  5.62864e+06
 3644.1496  5.71475e+06
 3644.9888  5.70682e+06
 3645.8282  5.67117e+06
 3646.6679  5.72546e+06
 3647.5076  5.29087e+06
 3648.3476  5.44461e+06
 3649.1878  5.70411e+06
 3650.0282  5.62671e+06
 3650.8688  5.57663e+06
 3651.7095  5.50732e+06
 3652.5505  5.75033e+06
 3653.3916  5.75932e+06
 3654.2330  5.77583e+06
 3655.0745  5.74532e+06
 3655.9162  5.74436e+06
 3656.7582  5.77597e+06
 3657.6003  5.77074e+06
 3658.4426  5.77716e+06
 3659.2851  5.72306e+06
 3660.1278  5.72416e+06
 3660.9707  5.78901e+06
 3661.8138  5.77926e+06
 3662.6571  5.75699e+06
 3663.5005  5.74371e+06
 3664.3442  5.73199e+06
 3665.1881  5.76941e+06
 3666.0321  5.77241e+06
 3666.8764  5.71520e+06
 3667.7208  5.70618e+06
 3668.5655  5.69799e+06
 3669.4103  5.55418e+06
 3670.2554  5.61471e+06
 3671.1006  5.73659e+06
 3671.9460  5.77254e+06
 3672.7916  5.76887e+06
 3673.6374  5.69146e+06
 3674.4834  5.70491e+06
 3675.3296  5.76314e+06
 3676.1760  5.68430e+06
 3677.0226  5.65369e+06
