WL	g-band	WL	r-band	WL	i-band	WL	z-band	WL	y-band
338	0.3859	338	0.4804	338	52.8185	338	0	338	0
339	0.1442	339	0.6317	339	69.3711	339	0	339	0
340	0.1581	340	1.508	340	78.3599	340	0	340	0
341	0.0687	341	10.5619	341	90.3063	341	0	341	0
342	0.0755	342	8.5464	342	77.4405	342	0	342	0
343	1.5142	343	2.8681	343	48.0221	343	0	343	0
344	0.1028	344	2.6007	344	34.1984	344	0	344	0
345	0.0524	345	4.7014	345	32.2964	345	0	345	0
346	0.168	346	18.5965	346	39.0718	346	0	346	0
347	0.6208	347	50.9485	347	55.1934	347	0	347	0
348	0.2079	348	21.8612	348	77.7943	348	0	348	0
349	0.3461	349	19.9081	349	86.0556	349	0	349	0
350	0.0553	350	32.4935	350	67.3517	350	0	350	0
351	0.0531	351	55.5767	351	47.5035	351	0	351	0
352	0.7618	352	59.7998	352	38.0011	352	0	352	0
353	0.0092	353	65.4358	353	37.2575	353	0	353	0
354	0.003	354	84.0433	354	44.6476	354	0	354	0
355	0.0028	355	91.758	355	61.6214	355	0	355	0
356	0.0092	356	92.1777	356	84.1603	356	0	356	0
357	0.0579	357	93.2305	357	91.1431	357	0	357	0
358	0.0032	358	56.7051	358	76.4224	358	0	358	0
359	0.0019	359	26.1611	359	61.9519	359	0	359	0
360	0.0032	360	14.5894	360	58.5309	360	0	360	0
361	0.0552	361	10.1001	361	69.4447	361	0	361	0
362	0.0094	362	8.0873	362	91.9324	362	0	362	0
363	0.0027	363	7.2069	363	81.412	363	0	363	0
364	0.0027	364	7.1603	364	46.1752	364	0	364	0
365	0.0077	365	7.7872	365	28.1052	365	0	365	0
366	11.9702	366	8.2767	366	21.0748	366	0	366	0
367	0.0129	367	7.4444	367	18.6178	367	0	367	0
368	0.0066	368	5.9685	368	18.1644	368	0	368	0
369	0.0098	369	4.9831	369	18.9985	369	0	369	0
370	0.0515	370	4.5708	370	20.6649	370	0	370	0
371	0.4439	371	4.4386	371	18.9413	371	0	371	0
372	0.0381	372	4.36	372	11.3283	372	0	372	0
373	0.0309	373	4.2293	373	5.7468	373	0	373	0
374	0.0628	374	3.6739	374	3.3463	374	0	374	0
375	0.4184	375	2.4438	375	2.429	375	0	375	0
376	5.0074	376	1.3647	376	2.2168	376	0	376	0
377	0.7433	377	0.8035	377	2.5235	377	0	377	0
378	0.9859	378	0.5546	378	3.4213	378	0	378	0
379	2.7911	379	0.4551	379	4.5568	379	0	379	0
380	3.9614	380	0.4317	380	4.3006	380	0	380	0
381	4.5865	381	0.4444	381	3.0263	381	0	381	0
382	5.9957	382	0.4544	382	2.0453	382	0	382	0
383	3.8435	383	0.4388	383	1.3908	383	0	383	0
384	3.1216	384	0.4172	384	0.9291	384	0	384	0
385	4.7076	385	0.4192	385	0.6287	385	0	385	0
386	10.563	386	0.4518	386	0.4605	386	0	386	0
387	11.0448	387	0.482	387	0.3847	387	0	387	0
388	7.7071	388	0.4503	388	0.3784	388	0	388	0
389	7.5522	389	0.3725	389	0.4478	389	0	389	0
390	9.2682	390	0.314	390	0.6418	390	0	390	0
391	11.8925	391	0.3012	391	1.0318	391	0	391	0
392	14.8799	392	0.3443	392	1.3092	392	0	392	0
393	16.7577	393	0.4708	393	0.9996	393	0	393	0
394	16.625	394	0.7228	394	0.671	394	0	394	0
395	17.3689	395	1.0191	395	0.5081	395	0	395	0
396	21.7667	396	1.0917	396	0.4359	396	0	396	0
397	31.0323	397	1.0199	397	0.3969	397	0	397	0
398	41.7667	398	0.9803	398	0.361	398	0	398	0
399	48.0196	399	0.9179	399	0.3268	399	0	399	0
400	50.3698	400	0.7368	400	0.311	400	0	400	0
401	51.7519	401	0.5353	401	0.3334	401	0	401	0
402	55.8822	402	0.4123	402	0.4253	402	0	402	0
403	65.0649	403	0.3676	403	0.6519	403	0	403	0
404	72.6723	404	0.3836	404	0.9512	404	0	404	0
405	69.4635	405	0.4399	405	0.7335	405	0	405	0
406	64.4601	406	0.4707	406	0.3878	406	0	406	0
407	67.1467	407	0.4046	407	0.2301	407	0	407	0
408	76.7326	408	0.3062	408	0.1658	408	0	408	0
409	84.4853	409	0.2431	409	0.1414	409	0	409	0
410	85.3825	410	0.2199	410	0.1377	410	0	410	0
411	85.7143	411	0.2294	411	0.1469	411	0	411	0
412	89.0249	412	0.27	412	0.163	412	0	412	0
413	92.336	413	0.3381	413	0.1798	413	0	413	0
414	93.162	414	0.414	414	0.1947	414	0	414	0
415	93.0079	415	0.4727	415	0.2146	415	0	415	0
416	93.2765	416	0.5309	416	0.2549	416	0	416	0
417	93.7343	417	0.6507	417	0.3403	417	0	417	0
418	94.4116	418	0.9393	418	0.4996	418	0	418	0.0001
419	95.3465	419	1.5891	419	0.6504	419	0	419	0.0001
420	95.433	420	2.4419	420	0.5469	420	0	420	0.0001
421	94.1402	421	2.2988	421	0.3559	421	0	421	0.0002
422	93.0862	422	1.7795	422	0.246	422	0	422	0.0002
423	93.7085	423	1.6383	423	0.1987	423	0	423	0.0002
424	95.0244	424	1.8431	424	0.1892	424	0.0001	424	0.0003
425	95.2135	425	1.9114	425	0.2105	425	0.0001	425	0.0003
426	94.6356	426	1.2488	426	0.2706	426	0.0001	426	0.0003
427	94.8649	427	0.6666	427	0.3901	427	0.0001	427	0.0004
428	95.5076	428	0.4003	428	0.5766	428	0.0001	428	0.0004
429	94.6222	429	0.2856	429	0.7363	429	0.0001	429	0.0004
430	92.4222	430	0.2338	430	0.7394	430	0.0001	430	0.0005
431	91.595	431	0.2048	431	0.6522	431	0.0001	431	0.0005
432	93.3565	432	0.1762	432	0.5624	432	0.0001	432	0.0005
433	95.2663	433	0.141	433	0.4727	433	0	433	0.0005
434	93.8969	434	0.1078	434	0.3725	434	0	434	0.0005
435	90.1524	435	0.0842	435	0.2776	435	0	435	0.0006
436	88.1503	436	0.0708	436	0.207	436	0	436	0.0006
437	89.9215	437	0.0659	437	0.1633	437	0	437	0.0008
438	93.6019	438	0.068	438	0.1405	438	0	438	0.0009
439	95.1567	439	0.0762	439	0.134	439	0	439	0.0012
440	93.2184	440	0.0865	440	0.1426	440	0	440	0.0015
441	90.7242	441	0.0882	441	0.1704	441	0	441	0.0019
442	90.5481	442	0.0751	442	0.23	442	0	442	0.0024
443	92.7071	443	0.0573	443	0.3505	443	0	443	0.003
444	95.0305	444	0.0441	444	0.589	444	0	444	0.0034
445	95.6166	445	0.0364	445	0.9805	445	0	445	0.0038
446	94.8291	446	0.0328	446	1.3041	446	0	446	0.0039
447	94.2553	447	0.0323	447	1.3011	447	0	447	0.0039
448	94.5607	448	0.0341	448	1.1865	448	0	448	0.0038
449	95.0368	449	0.0374	449	1.1411	449	0	449	0.0037
450	94.7364	450	0.0406	450	1.1785	450	0	450	0.0036
451	93.7364	451	0.0418	451	1.251	451	0	451	0.0037
452	93.0534	452	0.0403	452	1.2947	452	0	452	0.0039
453	93.4751	453	0.0376	453	1.2952	453	0	453	0.0042
454	94.7037	454	0.0355	454	1.3142	454	0	454	0.0046
455	95.5121	455	0.0351	455	1.4417	455	0	455	0.0052
456	94.9358	456	0.0372	456	1.771	456	0	456	0.006
457	93.4462	457	0.0426	457	2.2878	457	0	457	0.0069
458	92.5288	458	0.0527	458	2.3098	458	0	458	0.0081
459	93.1536	459	0.0692	459	1.4596	459	0	459	0.0092
460	94.7823	460	0.0929	460	0.7848	460	0	460	0.0102
461	95.6697	461	0.1192	461	0.4587	461	0	461	0.0112
462	94.6181	462	0.1367	462	0.3055	462	0	462	0.012
463	92.5216	463	0.1398	463	0.23	463	0	463	0.013
464	91.4098	464	0.1363	464	0.1927	464	0	464	0.0142
465	92.3487	465	0.1356	465	0.1771	465	0	465	0.016
466	94.4496	466	0.1431	466	0.1765	466	0	466	0.0184
467	95.4743	467	0.1623	467	0.1883	467	0	467	0.0219
468	94.0893	468	0.1976	468	0.2121	468	0	468	0.0266
469	91.5182	469	0.2559	469	0.2476	469	0	469	0.0329
470	90.0752	470	0.3444	470	0.2932	470	0	470	0.0409
471	90.8828	471	0.4644	471	0.3449	471	0	471	0.0506
472	93.1568	472	0.5987	472	0.3989	472	0	472	0.0616
473	94.9378	473	0.7073	473	0.4561	473	0	473	0.0726
474	94.9634	474	0.7541	474	0.5252	474	0	474	0.0836
475	93.9618	475	0.7359	475	0.6228	475	0	475	0.0926
476	93.5418	476	0.6766	476	0.7749	476	0	476	0.0977
477	94.3339	477	0.6054	477	1.0231	477	0	477	0.0988
478	95.4601	478	0.5435	478	1.4336	478	0	478	0.0971
479	95.5335	479	0.5017	479	2.0937	479	0	479	0.0941
480	94.2816	480	0.4844	480	3.0154	480	0	480	0.0913
481	92.8781	481	0.493	481	3.8258	481	0	481	0.0893
482	92.592	482	0.5271	482	3.7763	482	0	482	0.0878
483	93.5668	483	0.581	483	2.8928	483	0	483	0.0857
484	94.7704	484	0.6353	484	1.9292	484	0	484	0.0815
485	95.0209	485	0.6549	485	1.2437	485	0	485	0.0742
486	94.2401	486	0.6168	486	0.8196	486	0	486	0.0641
487	93.4584	487	0.5397	487	0.566	487	0	487	0.0533
488	93.5985	488	0.4607	488	0.4135	488	0	488	0.0436
489	94.5444	489	0.4012	489	0.32	489	0	489	0.0357
490	95.2816	490	0.3658	490	0.2616	490	0	490	0.0298
491	94.9603	491	0.3532	491	0.2248	491	0	491	0.0256
492	93.874	492	0.3622	492	0.2013	492	0	492	0.0226
493	93.1399	493	0.3927	493	0.1862	493	0	493	0.0205
494	93.5192	494	0.4458	494	0.1759	494	0	494	0.019
495	94.6816	495	0.52	495	0.1678	495	0	495	0.0177
496	95.4567	496	0.6052	496	0.1603	496	0	496	0.0165
497	94.9676	497	0.6791	497	0.1525	497	0	497	0.0152
498	93.6297	498	0.717	498	0.145	498	0	498	0.0136
499	92.746	499	0.7137	499	0.1386	499	0	499	0.0118
500	93.2166	500	0.6878	500	0.1346	500	0	500	0.01
501	94.6977	501	0.6622	501	0.134	501	0	501	0.0082
502	95.7125	502	0.6525	502	0.1382	502	0	502	0.0066
503	94.8633	503	0.6673	503	0.1487	503	0	503	0.0051
504	92.3304	504	0.7124	504	0.168	504	0	504	0.0039
505	89.7861	505	0.7952	505	0.2007	505	0	505	0.0029
506	88.8797	506	0.9258	506	0.2547	506	0	506	0.0021
507	90.1436	507	1.1182	507	0.344	507	0	507	0.0015
508	92.7789	508	1.3878	508	0.4898	508	0	508	0.0011
509	95.0823	509	1.7437	509	0.707	509	0	509	0.0008
510	95.6727	510	2.172	510	0.935	510	0	510	0.0006
511	94.7284	511	2.6181	511	0.9964	511	0	511	0.0004
512	93.6602	512	2.9967	512	0.8513	512	0	512	0.0003
513	93.6495	513	3.2433	513	0.6604	513	0.0001	513	0.0002
514	94.6831	514	3.3619	514	0.5144	514	0.0001	514	0.0002
515	95.5852	515	3.4112	515	0.4182	515	0.0001	515	0.0001
516	94.9951	516	3.4601	516	0.3573	516	0.0001	516	0.0001
517	92.7446	517	3.5629	517	0.3191	517	0.0001	517	0.0001
518	90.1346	518	3.7582	518	0.2952	518	0.0001	518	0.0001
519	88.7873	519	4.0746	519	0.2802	519	0.0001	519	0.0001
520	89.5135	520	4.5316	520	0.2698	520	0.0001	520	0.0001
521	91.8811	521	5.1287	521	0.2609	521	0.0001	521	0.0001
522	94.2851	522	5.8188	522	0.251	522	0.0001	522	0.0001
523	94.7947	523	6.4809	523	0.2386	523	0.0001	523	0
524	92.7556	524	6.9393	524	0.2234	524	0.0001	524	0
525	89.448	525	7.0683	525	0.2064	525	0.0001	525	0
526	86.879	526	6.8965	526	0.1891	526	0.0001	526	0
527	86.398	527	6.5772	527	0.1731	527	0.0002	527	0
528	88.2474	528	6.2747	528	0.1595	528	0.0002	528	0
529	91.5623	529	6.1004	529	0.149	529	0.0003	529	0
530	94.5487	530	6.118	530	0.1422	530	0.0003	530	0.0001
531	95.3162	531	6.3726	531	0.1392	531	0.0003	531	0.0001
532	93.2788	532	6.9148	532	0.1406	532	0.0003	532	0.0001
533	89.6149	533	7.8174	533	0.1472	533	0.0003	533	0.0001
534	86.1801	534	9.1848	534	0.1605	534	0.0003	534	0.0001
535	84.335	535	11.1509	535	0.1831	535	0.0003	535	0.0001
536	84.6063	536	13.8491	536	0.22	536	0.0003	536	0.0002
537	86.767	537	17.3297	537	0.2806	537	0.0003	537	0.0003
538	89.8913	538	21.4276	538	0.3834	538	0.0003	538	0.0004
539	92.4931	539	25.6945	539	0.5652	539	0.0002	539	0.0007
540	93.1523	540	29.5846	540	0.8921	540	0.0002	540	0.0008
541	91.5011	541	32.8411	541	1.4017	541	0.0001	541	0.0006
542	88.5498	542	35.6797	542	1.7592	542	0.0001	542	0.0003
543	85.909	543	38.6138	543	1.4723	543	0.0001	543	0.0002
544	84.8349	544	42.1926	544	0.9844	544	0	544	0.0001
545	85.8173	545	46.8573	545	0.6518	545	0	545	0.0001
546	88.5216	546	52.8718	546	0.4572	546	0	546	0.0001
547	91.8548	547	60.2278	547	0.3407	547	0	547	0.0001
548	94.3968	548	68.5065	548	0.2665	548	0	548	0.0001
549	95.3484	549	76.8166	549	0.2158	549	0	549	0
550	95.162	550	84.0109	550	0.1787	550	0	550	0
551	94.9207	551	89.1902	551	0.1502	551	0	551	0
552	94.9828	552	92.1697	552	0.1273	552	0.0001	552	0
553	94.0652	553	93.3876	553	0.1083	553	0.0001	553	0
554	89.7061	554	93.5303	554	0.0926	554	0.0001	554	0
555	80.8296	555	93.1758	555	0.0795	555	0.0001	555	0
556	69.6908	556	92.6561	556	0.0689	556	0.0001	556	0
557	59.7616	557	92.0927	557	0.0603	557	0.0001	557	0
558	52.971	558	91.4933	558	0.0534	558	0	558	0
559	49.5274	559	90.8434	559	0.048	559	0	559	0
560	48.5673	560	90.1599	560	0.0438	560	0	560	0
561	48.0601	561	89.5024	561	0.0406	561	0	561	0
562	44.8833	562	88.955	562	0.0383	562	0	562	0
563	37.6305	563	88.5983	563	0.0367	563	0	563	0
564	28.945	564	88.4867	564	0.0357	564	0	564	0
565	21.8897	565	88.6393	565	0.0353	565	0	565	0
566	17.2333	566	89.0423	566	0.0354	566	0	566	0
567	14.5013	567	89.6577	567	0.0361	567	0	567	0.0001
568	13.057	568	90.4322	568	0.0372	568	0	568	0.0001
569	12.3196	569	91.3018	569	0.0389	569	0	569	0.0001
570	11.6516	570	92.1899	570	0.0411	570	0	570	0.0001
571	10.4248	571	93.0024	571	0.0439	571	0	571	0.0001
572	8.5324	572	93.6243	572	0.0473	572	0	572	0.0001
573	6.5314	573	93.9279	573	0.0514	573	0	573	0.0002
574	4.9358	574	93.7948	574	0.0562	574	0	574	0.0002
575	3.8551	575	93.1508	575	0.0616	575	0	575	0.0003
576	3.1905	576	92.0011	576	0.0678	576	0	576	0.0004
577	2.8231	577	90.4474	577	0.0746	577	0	577	0.0006
578	2.6659	578	88.6773	578	0.082	578	0	578	0.0008
579	2.6547	579	86.9283	579	0.0899	579	0	579	0.0012
580	2.7187	580	85.4426	580	0.0982	580	0	580	0.0017
581	2.7501	581	84.4282	581	0.1069	581	0	581	0.0025
582	2.6283	582	84.0335	582	0.1161	582	0	582	0.0036
583	2.3258	583	84.3335	583	0.1257	583	0	583	0.0051
584	1.9465	584	85.3212	584	0.1362	584	0	584	0.0066
585	1.6094	585	86.899	585	0.1478	585	0	585	0.0079
586	1.3655	586	88.873	586	0.1613	586	0	586	0.0082
587	1.2165	587	90.959	587	0.1771	587	0	587	0.0074
588	1.1499	588	92.8158	588	0.1963	588	0	588	0.006
589	1.1553	589	94.1132	589	0.22	589	0	589	0.0045
590	1.226	590	94.6207	590	0.2494	590	0	590	0.0033
591	1.3505	591	94.2814	591	0.2861	591	0	591	0.0024
592	1.4928	592	93.228	592	0.3318	592	0	592	0.0017
593	1.5772	593	91.7333	593	0.3879	593	0	593	0.0013
594	1.5296	594	90.1249	594	0.4549	594	0	594	0.001
595	1.3631	595	88.7046	595	0.5312	595	0	595	0.0008
596	1.1629	596	87.6999	596	0.6112	596	0	596	0.0006
597	0.9954	597	87.2462	597	0.6851	597	0	597	0.0005
598	0.8819	598	87.3878	598	0.7408	598	0	598	0.0004
599	0.82	599	88.0858	599	0.7691	599	0	599	0.0003
600	0.801	600	89.228	600	0.7686	600	0	600	0.0003
601	0.814	601	90.6357	601	0.7456	601	0	601	0.0003
602	0.8413	602	92.0992	602	0.7097	602	0	602	0.0002
603	0.8547	603	93.3951	603	0.6696	603	0	603	0.0002
604	0.8229	604	94.3287	604	0.6312	604	0.0001	604	0.0002
605	0.7376	605	94.7737	605	0.5976	605	0.0001	605	0.0002
606	0.6247	606	94.6973	606	0.5698	606	0.0001	606	0.0002
607	0.5175	607	94.1611	607	0.5478	607	0.0001	607	0.0002
608	0.4334	608	93.2973	608	0.531	608	0	608	0.0001
609	0.3749	609	92.2731	609	0.5186	609	0	609	0.0001
610	0.3387	610	91.2548	610	0.5097	610	0	610	0.0001
611	0.3208	611	90.3825	611	0.5034	611	0	611	0.0001
612	0.3179	612	89.7577	612	0.4989	612	0	612	0.0001
613	0.3275	613	89.4398	613	0.4957	613	0	613	0.0001
614	0.346	614	89.4494	614	0.4933	614	0	614	0.0002
615	0.3669	615	89.7736	615	0.4916	615	0	615	0.0002
616	0.3795	616	90.3708	616	0.4903	616	0	616	0.0002
617	0.3735	617	91.1763	617	0.4898	617	0	617	0.0002
618	0.3469	618	92.1072	618	0.4903	618	0	618	0.0002
619	0.3087	619	93.0679	619	0.4921	619	0	619	0.0002
620	0.2706	620	93.9577	620	0.4956	620	0	620	0.0003
621	0.2399	621	94.6796	621	0.5013	621	0	621	0.0003
622	0.2189	622	95.1505	622	0.5096	622	0	622	0.0004
623	0.2078	623	95.3123	623	0.521	623	0	623	0.0005
624	0.2062	624	95.14	624	0.536	624	0	624	0.0006
625	0.214	625	94.6469	625	0.5549	625	0	625	0.0008
626	0.2315	626	93.8826	626	0.5783	626	0	626	0.0011
627	0.2585	627	92.927	627	0.6068	627	0	627	0.0016
628	0.293	628	91.8793	628	0.641	628	0.0001	628	0.0024
629	0.3279	629	90.8453	629	0.6815	629	0.0001	629	0.0035
630	0.3516	630	89.9257	630	0.729	630	0.0001	630	0.0041
631	0.354	631	89.2071	631	0.7844	631	0.0001	631	0.0035
632	0.3364	632	88.7546	632	0.8485	632	0.0002	632	0.0025
633	0.3098	633	88.6079	633	0.9224	633	0.0003	633	0.0016
634	0.2848	634	88.7786	634	1.0069	634	0.0003	634	0.0011
635	0.2676	635	89.2482	635	1.103	635	0.0004	635	0.0008
636	0.2598	636	89.9679	636	1.2119	636	0.0004	636	0.0006
637	0.2614	637	90.8589	637	1.3343	637	0.0004	637	0.0005
638	0.2704	638	91.8168	638	1.4709	638	0.0003	638	0.0004
639	0.2829	639	92.7191	639	1.6221	639	0.0002	639	0.0003
640	0.2912	640	93.439	640	1.7881	640	0.0002	640	0.0003
641	0.2864	641	93.8627	641	1.9682	641	0.0002	641	0.0002
642	0.2644	642	93.9078	642	2.1612	642	0.0002	642	0.0002
643	0.2307	643	93.5384	643	2.3653	643	0.0002	643	0.0002
644	0.1953	644	92.7713	644	2.5775	644	0.0002	644	0.0002
645	0.165	645	91.6719	645	2.7942	645	0.0001	645	0.0001
646	0.1422	646	90.3413	646	3.0111	646	0.0002	646	0.0001
647	0.1265	647	88.898	647	3.2235	647	0.0002	647	0.0001
648	0.1169	648	87.4609	648	3.4265	648	0.0002	648	0.0001
649	0.1124	649	86.1361	649	3.6159	649	0.0002	649	0.0001
650	0.1122	650	85.0082	650	3.788	650	0.0002	650	0.0001
651	0.1158	651	84.1291	651	3.9395	651	0.0003	651	0.0001
652	0.1227	652	83.5495	652	4.0704	652	0.0003	652	0.0001
653	0.1317	653	83.2837	653	4.1815	653	0.0004	653	0.0001
654	0.141	654	83.3261	654	4.2753	654	0.0005	654	0.0001
655	0.1477	655	83.6538	655	4.3554	655	0.0007	655	0.0001
656	0.1495	656	84.2294	656	4.4263	656	0.0009	656	0.0001
657	0.1457	657	85.0031	657	4.493	657	0.0013	657	0.0001
658	0.1382	658	85.9158	658	4.5609	658	0.0018	658	0.0001
659	0.1296	659	86.9023	659	4.6352	659	0.0022	659	0.0001
660	0.1225	660	87.895	660	4.7215	660	0.0022	660	0.0001
661	0.1181	661	88.8286	661	4.8249	661	0.0018	661	0.0001
662	0.1175	662	89.6442	662	4.9508	662	0.0014	662	0.0001
663	0.1211	663	90.2942	663	5.1047	663	0.0011	663	0.0001
664	0.1299	664	90.745	664	5.2921	664	0.0009	664	0.0001
665	0.145	665	90.9793	665	5.5194	665	0.0007	665	0.0001
666	0.1684	666	90.9965	666	5.7934	666	0.0006	666	0.0001
667	0.2023	667	90.8108	667	6.122	667	0.0005	667	0.0001
668	0.2489	668	90.4496	668	6.5141	668	0.0005	668	0.0001
669	0.3079	669	89.9495	669	6.9802	669	0.0005	669	0.0001
670	0.3726	670	89.3535	670	7.5323	670	0.0004	670	0.0001
671	0.4289	671	88.7076	671	8.1845	671	0.0004	671	0.0001
672	0.4625	672	88.0582	672	8.9529	672	0.0004	672	0.0001
673	0.4713	673	87.45	673	9.8556	673	0.0004	673	0.0002
674	0.4647	674	86.9243	674	10.9132	674	0.0005	674	0.0002
675	0.4533	675	86.5184	675	12.1478	675	0.0005	675	0.0002
676	0.4416	676	86.2639	676	13.5826	676	0.0006	676	0.0002
677	0.427	677	86.187	677	15.2409	677	0.0006	677	0.0002
678	0.4025	678	86.307	678	17.1439	678	0.0007	678	0.0002
679	0.3617	679	86.6355	679	19.3091	679	0.0009	679	0.0002
680	0.3066	680	87.1753	680	21.7469	680	0.001	680	0.0003
681	0.2472	681	87.9183	681	24.4583	681	0.0013	681	0.0003
682	0.1938	682	88.8433	682	27.4321	682	0.0016	682	0.0003
683	0.1515	683	89.9133	683	30.6439	683	0.002	683	0.0004
684	0.1201	684	91.0727	684	34.0563	684	0.0024	684	0.0004
685	0.0976	685	92.2453	685	37.6218	685	0.0028	685	0.0005
686	0.0818	686	93.3339	686	41.2866	686	0.0029	686	0.0005
687	0.0707	687	94.2224	687	44.9963	687	0.0026	687	0.0006
688	0.0632	688	94.7823	688	48.701	688	0.0023	688	0.0007
689	0.0581	689	94.8844	689	52.359	689	0.0018	689	0.0008
690	0.055	690	94.4137	690	55.9382	690	0.0015	690	0.0009
691	0.0532	691	93.2877	691	59.4166	691	0.0012	691	0.001
692	0.0525	692	91.4707	692	62.7797	692	0.001	692	0.0012
693	0.0525	693	88.9826	693	66.0184	693	0.0009	693	0.0013
694	0.0527	694	85.8967	694	69.126	694	0.0008	694	0.0016
695	0.0528	695	82.3286	695	72.0963	695	0.0007	695	0.0019
696	0.0522	696	78.4169	696	74.9219	696	0.0006	696	0.0022
697	0.0508	697	74.3038	697	77.5943	697	0.0006	697	0.0026
698	0.0483	698	70.1177	698	80.1037	698	0.0005	698	0.0031
699	0.0451	699	65.9618	699	82.4398	699	0.0005	699	0.0038
700	0.0416	700	61.91	700	84.5931	700	0.0005	700	0.0046
701	0.0381	701	58.0514	701	86.5474	701	0.0005	701	0.0055
702	0.035	702	54.3584	702	88.3056	702	0.0005	702	0.0066
703	0.0323	703	50.8316	703	89.8652	703	0.0005	703	0.008
704	0.0302	704	47.4599	704	91.2262	704	0.0005	704	0.0095
705	0.0286	705	44.2264	705	92.3917	705	0.0005	705	0.0113
706	0.0276	706	41.1137	706	93.3676	706	0.0005	706	0.0132
707	0.027	707	38.1088	707	94.1621	707	0.0006	707	0.0151
708	0.0269	708	35.2051	708	94.7855	708	0.0006	708	0.0171
709	0.0272	709	32.4044	709	95.2499	709	0.0006	709	0.0189
710	0.028	710	29.7157	710	95.5689	710	0.0007	710	0.0206
711	0.0292	711	27.1533	711	95.7569	711	0.0008	711	0.022
712	0.0308	712	24.734	712	95.8293	712	0.0009	712	0.0232
713	0.0328	713	22.474	713	95.8019	713	0.001	713	0.0242
714	0.035	714	20.3858	714	95.6908	714	0.0011	714	0.0252
715	0.0376	715	18.4773	715	95.512	715	0.0013	715	0.0261
716	0.0402	716	16.7508	716	95.2807	716	0.0016	716	0.0271
717	0.0429	717	15.2029	717	95.0119	717	0.0019	717	0.0283
718	0.0455	718	13.8263	718	94.7195	718	0.0023	718	0.0297
719	0.0481	719	12.6102	719	94.4162	719	0.0028	719	0.0315
720	0.0505	720	11.5417	720	94.1134	720	0.0035	720	0.0337
721	0.0529	721	10.6074	721	93.8211	721	0.0042	721	0.0366
722	0.0556	722	9.7933	722	93.5477	722	0.0051	722	0.0403
723	0.0586	723	9.0861	723	93.2999	723	0.0058	723	0.0451
724	0.0624	724	8.4734	724	93.0829	724	0.0063	724	0.0514
725	0.0672	725	7.9437	725	92.9	725	0.0065	725	0.0599
726	0.0735	726	7.4869	726	92.753	726	0.0062	726	0.0717
727	0.0818	727	7.0938	727	92.6421	727	0.0057	727	0.0885
728	0.0928	728	6.7563	728	92.5659	728	0.0051	728	0.1134
729	0.1075	729	6.4673	729	92.5217	729	0.0046	729	0.1525
730	0.1274	730	6.2206	730	92.5057	730	0.0041	730	0.2172
731	0.1545	731	6.0105	731	92.5131	731	0.0036	731	0.3348
732	0.1918	732	5.8323	732	92.5383	732	0.0033	732	0.5739
733	0.2435	733	5.6815	733	92.5756	733	0.003	733	1.0968
734	0.3156	734	5.5542	734	92.6192	734	0.0028	734	1.8979
735	0.4156	735	5.4467	735	92.6639	735	0.0026	735	1.6336
736	0.5512	736	5.3556	736	92.705	736	0.0025	736	0.8452
737	0.725	737	5.278	737	92.7391	737	0.0024	737	0.4451
